"city_state","Agency_Type"
"Baton Rouge,LA","City"
"Fort Wayne,IN","City"
"Hamilton,TN","County"
"Knox,TN","County"
"Nashua,NH","City"
"Ottawa,MI","County"
"Rutherford,TN","County"
"San Bernardino,CA","City"
"Shelby,TN","County"
"Adams,CO","County"
"Albany,OR","City"
"Alexandria,VA","City"
"Apex,NC","City"
"Arvada,CO","City"
"Barnstable,MA","City"
"Beaverton,OR","City"
"Bend,OR","City"
"Bensalem,PA","City"
"Bexar,TX","County"
"Brookline,MA","City"
"Canton,OH","City"
"Cleveland,OH","City"
"Clinton Township,MI","City"
"Corvallis,OR","City"
"Cranston,RI","City"
"Davidson,NC","County"
"Des Plaines,IL","City"
"Everett,MA","City"
"Fall River,MA","City"
"Flagstaff,AZ","City"
"Flint,MI","City"
"Framingham,MA","City"
"Fremont,CA","City"
"Hamden,CT","City"
"Hamilton,OH","City"
"Harris,TX","County"
"Jacksonville,NC","City"
"Kalamazoo,MI","City"
"Kentwood,MI","City"
"Lakewood,CO","City"
"Lakewood,OH","City"
"Longmont,CO","City"
"Loudoun,VA","County"
"Loveland,CO","City"
"Lowell,MA","City"
"Lubbock,TX","City"
"Malden,MA","City"
"Mckinney,TX","City"
"Medford,OR","City"
"Meriden,CT","City"
"Midland,TX","City"
"Milford,CT","City"
"Mission,TX","City"
"Nampa,ID","City"
"New Haven,CT","City"
"Newton,MA","City"
"North Las Vegas,NV","City"
"North Richland Hills,TX","City"
"Parma,OH","City"
"Peabody,MA","City"
"Peoria,AZ","City"
"Pinal,AZ","County"
"Plymouth,MA","City"
"Pueblo,CO","City"
"Quincy,MA","City"
"Rapid City,SD","City"
"Reno,NV","City"
"Roanoke,VA","City"
"Rochester,MN","City"
"Salem,OR","City"
"Smith,TX","County"
"Somerville,MA","City"
"Spotsylvania,VA","County"
"Springfield,MA","City"
"Springfield,OR","City"
"St Charles,MO","County"
"Taunton,MA","City"
"Temple,TX","City"
"Tigard,OR","City"
"Toledo,OH","City"
"Union,NC","County"
"West Chester Township,OH","City"
"West Hartford,CT","City"
"Worcester,MA","City"
"Cuyahoga Falls,OH","City"
"Kettering,OH","City"
"Middletown,OH","City"
"Youngstown,OH","City"
"Santa Monica,CA","City"
